[2026-01-21T12:00:36.686+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T12:00:36.784+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T12:00:36.889+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T12:00:36.986+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T12:00:37.094+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T12:00:37.192+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T12:00:37.283+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T12:00:37.378+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T12:00:37.471+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T12:00:37.553+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T12:00:37.654+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T12:00:37.769+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T12:00:37.863+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T12:00:38.033+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T12:00:38.658+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T12:00:38.670+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T114500, start_date=20260121T120017, end_date=20260121T120038
[2026-01-21T12:00:38.703+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T12:00:38.726+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
