[2026-01-21T00:00:36.330+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T00:00:36.503+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T00:00:36.640+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T00:00:36.744+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T00:00:36.871+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T00:00:36.976+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T00:00:37.098+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T00:00:37.209+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T00:00:37.310+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T00:00:37.420+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T00:00:37.531+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T00:00:37.633+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T00:00:37.732+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T00:00:37.848+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T00:00:37.964+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T00:00:38.123+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T00:00:38.894+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T00:00:38.910+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260120T000000, start_date=20260121T000016, end_date=20260121T000038
[2026-01-21T00:00:38.939+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T00:00:38.963+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
